county,pet,pp,pvc,hdpe,ldpe_lldpe,ps,other_resins,total_plastic_waste
Alameda,13590.079903150465,28509.05397449003,2759.5586516599133,23117.82330457745,52271.79785929962,7900.975452631224,12528.31642377386,140677.60556958255
Alpine,9.691235977111706,16.027045100549024,1.4815795608840059,13.881001409660382,27.366581359541772,4.366614126712199,7.2120580913650425,80.02611562582412
Amador,241.9665806111552,436.57579098338425,41.346665233073935,381.79428394023375,837.9657505730166,118.03932283918695,194.20716826985728,2251.895562449908
Butte,1900.4826270247067,3678.466629420216,351.04837303443276,3112.871709812833,6611.763426416014,1008.6872234138101,1650.5910230280156,18313.91101215003
Calaveras,267.9176454952696,451.4643056402258,42.24040819947429,401.58420564986227,883.9304407580231,121.81139272664451,196.43886189364295,2365.387260363142
Colusa,162.31354894559598,344.5586661396891,32.88976532489868,302.45621541031494,689.1501540422644,94.065823560902,147.1742681949304,1772.6084416185954
Contra Costa,7420.820084889466,15732.902064848284,1512.1606867789799,12925.376816991296,29222.93544385093,4362.651872490399,6786.702235574515,77963.54920542387
Del Norte,181.04431948929465,331.1583170612947,31.92723139262765,277.6993920713246,611.9337416171611,91.60583133257371,144.85946192402318,1670.2282948882996
El Dorado,1358.0565256787902,2461.1683881562317,235.36281766179934,2122.1715267032223,4655.792620716352,669.0152498977702,1102.2334204657545,12603.800549279918
Fresno,7557.767476660894,15420.556172231369,1469.0196767081463,13056.310911897348,28250.00095718733,4213.274534301776,6899.362815227996,76866.29254421487
Glenn,196.16795490686485,389.26102527005344,36.65537299143051,331.2684249620682,712.9839672313858,105.97712267622356,173.20664901872294,1945.5205170567492
Humboldt,1000.7149179239212,1897.967621938042,184.94937970539195,1604.1791387595226,3629.526343230033,524.9549455025018,826.3285622648597,9668.620909324272
Imperial,1201.17487671457,2391.487823186972,225.1667794189641,1918.3451032801972,4177.527971779226,641.1288150904761,1134.7680838014483,11689.599453271852
Inyo,195.42611113373076,335.23372128601045,32.369983607365626,291.04004731609524,630.1323586844366,91.7986027348266,149.63627340476077,1725.6370981672258
Kern,6239.310457725658,12772.609963771321,1210.052254463823,10825.258575382539,23182.7670489772,3479.0404316271533,5749.31400666785,63458.35273861555
Kings,957.3591336263562,1966.5613487984565,186.81863135764257,1683.4602733649442,3686.835014023524,536.2906315099934,869.9062853736203,9887.231318054537
Lake,441.7846256592122,797.6522399683465,76.7061695409466,656.7654646586097,1480.7434708812864,220.79874595217737,346.14202537737725,4020.592742037956
Lassen,185.18021286150156,318.52996360666367,30.04034758646673,281.4223161410256,593.2546525672709,86.24923553197297,142.776207056281,1637.4529353511825
Los Angeles,89749.83652205141,179882.76509284606,17235.911254787923,143481.0760149662,310912.4860905334,49047.66883360068,84024.10129074228,874333.8450995281
Madera,960.674027019227,1957.9377372383387,184.0499438774111,1673.7201175311732,3549.7966555607964,532.7030768162845,875.6159895697255,9734.497547612957
Marin,2240.315602047388,4655.080627396718,452.4988450398239,3842.8067721432535,8599.718149153001,1290.2735506809568,2048.0915191682698,23128.785065629407
Mariposa,160.8072787646072,242.3584683062308,23.014034799564932,218.1620784558803,460.6134880118846,66.33001455260415,105.27003704176425,1276.5553999325361
Mendocino,676.0593913160365,1288.6638175721928,125.76896506236452,1092.7257038576915,2504.0283866666778,356.6601419116308,555.938323678005,6599.8447300645985
Merced,1779.2850142273937,3618.2907796841846,341.65086599932215,3095.884401162267,6809.259145793604,985.6624615840683,1588.949477042611,18218.98214549345
Modoc,69.73500319121035,123.05887872189277,11.626407012615642,106.46916046437718,231.8140307170548,33.377067014296834,54.691694692459144,630.7722418139067
Mono,174.32304378452812,276.2443468509365,26.906978468373733,247.36328367399256,524.1715740078397,76.17016108874701,121.77914708495933,1446.958534959377
Monterey,3200.7212080238546,6259.111791529511,611.5967748090045,5314.7867486763735,12213.888428860118,1724.8691825315318,2730.5880875917,32055.562222022094
Napa,1256.6104286967877,2608.807331060644,255.53080085714484,2275.771835910206,5374.064402326315,722.3991418710983,1088.868558282199,13582.052499004396
Nevada,728.4813048372731,1289.0352522667995,122.76273088715844,1126.2029590833288,2467.6612590338677,350.37595588960886,570.3519648229023,6654.871426820938
Orange,29398.765594206034,61286.331826309135,5903.20381419546,48236.704897786854,104830.03674847647,16733.211293236018,28865.001105984767,295253.25528019475
Placer,3248.8427005894087,6691.275241353714,641.2310330399064,5599.4555511199005,11915.497395779117,1833.5411093758748,3039.5068048749245,32969.349836132846
Plumas,149.10691078783753,259.93607406140836,24.705600419190155,223.86607969567066,483.96747235258084,70.70521351566585,116.29932081162401,1328.5866716439775
Riverside,14876.154399726373,29403.912649824073,2766.091261585919,23591.599984554447,50518.73572471271,7913.9234374938205,13913.495456391673,142983.91291428902
Sacramento,12574.333543539167,25672.657809052344,2446.2545991967863,21428.487315931092,45073.651806755704,7034.7956905445335,11661.344261040893,125891.52502606052
San Benito,334.99109115946464,673.4336418286792,65.45217200895485,566.0361488790886,1359.3966421071088,186.60551642837729,281.0896420742729,3467.0048544859465
San Bernardino,13722.13818279768,28191.358162568824,2664.0697405162455,22492.796955752216,48700.55113213266,7585.701272783727,13386.936911277051,136743.55235782842
San Diego,29439.063030730074,58722.35126249984,5632.6029349963155,46824.44658101389,100676.60923779878,16035.899251193197,27468.51385088009,284799.4861491122
San Francisco,12907.484185526015,26488.779145641347,2601.209551672692,21068.49880072167,46206.689396222166,7367.958627474862,12066.829336532519,128707.44904379128
San Joaquin,5072.108735242928,10345.10571494275,979.466231472574,8804.825737063267,18949.85797439929,2820.93946747866,4616.105217995272,51588.40907859474
San Luis Obispo,2194.740930062483,4284.7922447483425,419.36298789736605,3632.630597274582,8212.63183192895,1185.3203826230092,1873.3988273334603,21802.877801868195
San Mateo,7334.1075785572375,15856.611136745894,1543.638431612711,12739.742105282496,28515.83421391466,4397.603751639551,7083.068039042006,77470.60525679454
Santa Barbara,3729.469384639511,7302.983418151258,714.1479956389163,6091.651782742234,13769.753464600026,2021.7205276176978,3213.1780371483387,36842.90461053798
Santa Clara,18092.782125055834,40260.85873790394,3874.6312288488975,31316.50764378259,70372.90736691933,11183.167765920782,17902.428305223744,193003.2831736551
Santa Cruz,2018.0723206769726,3952.7401541069303,386.0881226554603,3328.894984172831,7614.324678314495,1094.003438160229,1715.9678005124501,20110.091498599373
Shasta,1453.063696870314,2865.4247341606792,272.933387529991,2421.5209871093634,5109.200033066552,784.1185239657718,1295.1545782171672,14201.415940919838
Sierra,14.376695084308485,23.873812939277236,2.1522008018481227,21.205051631605734,46.221110710507446,6.343015060529034,10.387412295238311,124.55929852331437
Siskiyou,335.40539150876435,571.5270032145845,54.10346764712709,496.7865857515776,1080.92952954041,155.36847143266598,252.53259950890637,2946.653048604036
Solano,2632.083306833706,5486.086299023551,527.2594522118818,4607.69567132365,10509.864860188061,1517.1391185442878,2341.8089542418375,27621.937662366978
Sonoma,3827.2431380669623,7942.828427290158,769.3905615228498,6668.622633118184,15346.00857735914,2199.5981445393677,3396.869114844348,40150.560596741016
Stanislaus,3935.168388245804,8115.43111630373,772.443731265812,6963.896458188723,15179.063142056211,2215.6389782359624,3592.7285845436186,40774.37039883986
Sutter,696.0629861318932,1398.1572371646034,132.32475936102315,1187.8258077493474,2543.1406836446636,381.12500661003696,626.5198722678913,6965.156352929459
Tehama,480.4974670857098,909.4351161576266,86.00728479044899,757.599426171606,1611.563065748762,248.97346215074145,408.1108342505486,4502.186656355443
Trinity,95.69507077603149,156.53607062385197,14.649659719618896,134.82782656099366,285.58672107895256,42.602604023533495,69.30752870592357,799.2054814889055
Tulare,3169.5306754667567,6532.103632858529,618.0975442494585,5579.26917228331,12080.127426930201,1775.887053018836,2920.531360919698,32675.546865726785
Tuolumne,422.1264684121233,752.227736377848,72.31831041555319,648.9237707285599,1420.4103461494922,204.86034731772887,337.9023711843972,3858.7693505857033
Ventura,6196.902824725042,12878.714717883104,1225.235355096404,10228.610910263636,22249.510203305806,3482.837149783413,6089.291838552261,62351.10299960968
Yolo,1671.991356003689,3406.4222844096957,324.80939297914523,2848.750929785025,6162.473082343086,933.0710028234993,1525.9930537578527,16873.51110210199
Yuba,450.1868312793997,870.9475175954725,81.00507461917041,737.9388936296673,1534.4019654020271,237.6243898376377,387.19864663324466,4299.30331899662
