"material_type","county","total_residential_tons"
"Plastic Grocery and Other Merchandise Bags","Santa Cruz (Countywide)",313
"Non-Bag Commercial and Industrial Packaging Film","Santa Cruz (Countywide)",107
"Film Products","Santa Cruz (Countywide)",1
"Other Film - Other","Santa Cruz (Countywide)",1692
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Cruz (Countywide)",190
"Durable Plastic Items - Other","Santa Cruz (Countywide)",543
"Remainder / Composite Plastic","Santa Cruz (Countywide)",1556
"PETE Plastic Containers","Shasta (Countywide)",427
"HDPE Plastic Containers","Shasta (Countywide)",333
"Miscellaneous Plastic Containers","Shasta (Countywide)",368
"Plastic Trash Bags","Shasta (Countywide)",637
"Plastic Grocery and Other Merchandise Bags","Shasta (Countywide)",524
"Non-Bag Commercial and Industrial Packaging Film","Shasta (Countywide)",51
"Film Products","Shasta (Countywide)",59
"Other Film - Other","Shasta (Countywide)",1069
"Durable Plastic Items - #2 and #5 Bulky Rigids","Shasta (Countywide)",425
"Durable Plastic Items - Other","Shasta (Countywide)",445
"Remainder / Composite Plastic","Shasta (Countywide)",1367
"PETE Plastic Containers","Sierra (Countywide)",9
"HDPE Plastic Containers","Sierra (Countywide)",5
"Miscellaneous Plastic Containers","Sierra (Countywide)",5
"Plastic Trash Bags","Sierra (Countywide)",14
"Plastic Grocery and Other Merchandise Bags","Sierra (Countywide)",6
"Non-Bag Commercial and Industrial Packaging Film","Sierra (Countywide)",2
"Film Products","Sierra (Countywide)",0
"Other Film - Other","Sierra (Countywide)",22
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sierra (Countywide)",7
"Durable Plastic Items - Other","Sierra (Countywide)",8
"Remainder / Composite Plastic","Sierra (Countywide)",16
"PETE Plastic Containers","Siskiyou (Countywide)",120
"HDPE Plastic Containers","Siskiyou (Countywide)",66
"Miscellaneous Plastic Containers","Siskiyou (Countywide)",70
"Plastic Trash Bags","Siskiyou (Countywide)",176
"Plastic Grocery and Other Merchandise Bags","Siskiyou (Countywide)",85
"Non-Bag Commercial and Industrial Packaging Film","Siskiyou (Countywide)",22
"Film Products","Siskiyou (Countywide)",0
"Other Film - Other","Siskiyou (Countywide)",290
"Durable Plastic Items - #2 and #5 Bulky Rigids","Siskiyou (Countywide)",81
"Durable Plastic Items - Other","Siskiyou (Countywide)",117
"Remainder / Composite Plastic","Siskiyou (Countywide)",254
"PETE Plastic Containers","Solano (Countywide)",682
"HDPE Plastic Containers","Solano (Countywide)",459
"Miscellaneous Plastic Containers","Solano (Countywide)",793
"Plastic Trash Bags","Solano (Countywide)",1556
"Plastic Grocery and Other Merchandise Bags","Solano (Countywide)",704
"Non-Bag Commercial and Industrial Packaging Film","Solano (Countywide)",256
"Film Products","Solano (Countywide)",53
"Other Film - Other","Solano (Countywide)",2609
"Durable Plastic Items - #2 and #5 Bulky Rigids","Solano (Countywide)",378
"Durable Plastic Items - Other","Solano (Countywide)",880
"Remainder / Composite Plastic","Solano (Countywide)",2277
"PETE Plastic Containers","Sonoma (Countywide)",814
"HDPE Plastic Containers","Sonoma (Countywide)",539
"Miscellaneous Plastic Containers","Sonoma (Countywide)",922
"Plastic Trash Bags","Sonoma (Countywide)",1802
"Plastic Grocery and Other Merchandise Bags","Sonoma (Countywide)",836
"Non-Bag Commercial and Industrial Packaging Film","Sonoma (Countywide)",296
"Film Products","Sonoma (Countywide)",60
"Other Film - Other","Sonoma (Countywide)",3036
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sonoma (Countywide)",432
"Durable Plastic Items - Other","Sonoma (Countywide)",1046
"Remainder / Composite Plastic","Sonoma (Countywide)",2732
"PETE Plastic Containers","Stanislaus (Countywide)",1302
"HDPE Plastic Containers","Stanislaus (Countywide)",1061
"Miscellaneous Plastic Containers","Stanislaus (Countywide)",1152
"Plastic Trash Bags","Stanislaus (Countywide)",1989
"Plastic Grocery and Other Merchandise Bags","Stanislaus (Countywide)",1645
"Non-Bag Commercial and Industrial Packaging Film","Stanislaus (Countywide)",143
"Film Products","Stanislaus (Countywide)",204
"Other Film - Other","Stanislaus (Countywide)",3289
"Durable Plastic Items - #2 and #5 Bulky Rigids","Stanislaus (Countywide)",1429
"Durable Plastic Items - Other","Stanislaus (Countywide)",1327
"Remainder / Composite Plastic","Stanislaus (Countywide)",4096
"PETE Plastic Containers","Sutter (Countywide)",235
"HDPE Plastic Containers","Sutter (Countywide)",188
"Miscellaneous Plastic Containers","Sutter (Countywide)",206
"Plastic Trash Bags","Sutter (Countywide)",356
"Plastic Grocery and Other Merchandise Bags","Sutter (Countywide)",294
"Non-Bag Commercial and Industrial Packaging Film","Sutter (Countywide)",27
"Film Products","Sutter (Countywide)",35
"Other Film - Other","Sutter (Countywide)",592
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sutter (Countywide)",249
"Durable Plastic Items - Other","Sutter (Countywide)",242
"Remainder / Composite Plastic","Sutter (Countywide)",745
"PETE Plastic Containers","Tehama (Countywide)",153
"HDPE Plastic Containers","Tehama (Countywide)",114
"Miscellaneous Plastic Containers","Tehama (Countywide)",129
"Plastic Trash Bags","Tehama (Countywide)",223
"Plastic Grocery and Other Merchandise Bags","Tehama (Countywide)",183
"Non-Bag Commercial and Industrial Packaging Film","Tehama (Countywide)",19
"Film Products","Tehama (Countywide)",19
"Other Film - Other","Tehama (Countywide)",379
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tehama (Countywide)",138
"Durable Plastic Items - Other","Tehama (Countywide)",162
"Remainder / Composite Plastic","Tehama (Countywide)",496
"PETE Plastic Containers","Trinity (Countywide)",36
"HDPE Plastic Containers","Trinity (Countywide)",20
"Miscellaneous Plastic Containers","Trinity (Countywide)",21
"Plastic Trash Bags","Trinity (Countywide)",51
"Plastic Grocery and Other Merchandise Bags","Trinity (Countywide)",26
"Non-Bag Commercial and Industrial Packaging Film","Trinity (Countywide)",6
"Film Products","Trinity (Countywide)",0
"Other Film - Other","Trinity (Countywide)",86
"Durable Plastic Items - #2 and #5 Bulky Rigids","Trinity (Countywide)",22
"Durable Plastic Items - Other","Trinity (Countywide)",36
"Remainder / Composite Plastic","Trinity (Countywide)",81
"PETE Plastic Containers","Tulare (Countywide)",1127
"HDPE Plastic Containers","Tulare (Countywide)",925
"Miscellaneous Plastic Containers","Tulare (Countywide)",1001
"Plastic Trash Bags","Tulare (Countywide)",1728
"Plastic Grocery and Other Merchandise Bags","Tulare (Countywide)",1430
"Non-Bag Commercial and Industrial Packaging Film","Tulare (Countywide)",122
"Film Products","Tulare (Countywide)",180
"Other Film - Other","Tulare (Countywide)",2851
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tulare (Countywide)",1258
"Durable Plastic Items - Other","Tulare (Countywide)",1144
"Remainder / Composite Plastic","Tulare (Countywide)",3533
"PETE Plastic Containers","Tuolumne (Countywide)",142
"HDPE Plastic Containers","Tuolumne (Countywide)",79
"Miscellaneous Plastic Containers","Tuolumne (Countywide)",81
"Plastic Trash Bags","Tuolumne (Countywide)",211
"Plastic Grocery and Other Merchandise Bags","Tuolumne (Countywide)",96
"Non-Bag Commercial and Industrial Packaging Film","Tuolumne (Countywide)",25
"Film Products","Tuolumne (Countywide)",0
"Other Film - Other","Tuolumne (Countywide)",343
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tuolumne (Countywide)",102
"Durable Plastic Items - Other","Tuolumne (Countywide)",135
"Remainder / Composite Plastic","Tuolumne (Countywide)",280
"PETE Plastic Containers","Ventura (Countywide)",1458
"HDPE Plastic Containers","Ventura (Countywide)",886
"Miscellaneous Plastic Containers","Ventura (Countywide)",1158
"Plastic Trash Bags","Ventura (Countywide)",2170
"Plastic Grocery and Other Merchandise Bags","Ventura (Countywide)",1470
"Non-Bag Commercial and Industrial Packaging Film","Ventura (Countywide)",229
"Film Products","Ventura (Countywide)",1
"Other Film - Other","Ventura (Countywide)",3474
"Durable Plastic Items - #2 and #5 Bulky Rigids","Ventura (Countywide)",717
"Durable Plastic Items - Other","Ventura (Countywide)",3595
"Remainder / Composite Plastic","Ventura (Countywide)",4768
"PETE Plastic Containers","Yolo (Countywide)",492
"HDPE Plastic Containers","Yolo (Countywide)",378
"Miscellaneous Plastic Containers","Yolo (Countywide)",421
"Plastic Trash Bags","Yolo (Countywide)",729
"Plastic Grocery and Other Merchandise Bags","Yolo (Countywide)",598
"Non-Bag Commercial and Industrial Packaging Film","Yolo (Countywide)",60
"Film Products","Yolo (Countywide)",66
"Other Film - Other","Yolo (Countywide)",1228
"Durable Plastic Items - #2 and #5 Bulky Rigids","Yolo (Countywide)",472
"Durable Plastic Items - Other","Yolo (Countywide)",516
"Remainder / Composite Plastic","Yolo (Countywide)",1584
"PETE Plastic Containers","Yuba (Countywide)",178
"HDPE Plastic Containers","Yuba (Countywide)",141
"Miscellaneous Plastic Containers","Yuba (Countywide)",155
"Plastic Trash Bags","Yuba (Countywide)",268
"Plastic Grocery and Other Merchandise Bags","Yuba (Countywide)",221
"Non-Bag Commercial and Industrial Packaging Film","Yuba (Countywide)",20
"Film Products","Yuba (Countywide)",26
"Other Film - Other","Yuba (Countywide)",447
"Durable Plastic Items - #2 and #5 Bulky Rigids","Yuba (Countywide)",185
"Durable Plastic Items - Other","Yuba (Countywide)",184
"Remainder / Composite Plastic","Yuba (Countywide)",565
