"material_type","county","total_residential_tons"
"Durable Plastic Items - #2 and #5 Bulky Rigids","El Dorado (Countywide)",389
"Durable Plastic Items - Other","El Dorado (Countywide)",474
"Remainder / Composite Plastic","El Dorado (Countywide)",934
"PETE Plastic Containers","Fresno (Countywide)",2355
"HDPE Plastic Containers","Fresno (Countywide)",1877
"Miscellaneous Plastic Containers","Fresno (Countywide)",2057
"Plastic Trash Bags","Fresno (Countywide)",3555
"Plastic Grocery and Other Merchandise Bags","Fresno (Countywide)",2933
"Non-Bag Commercial and Industrial Packaging Film","Fresno (Countywide)",269
"Film Products","Fresno (Countywide)",348
"Other Film - Other","Fresno (Countywide)",5921
"Durable Plastic Items - #2 and #5 Bulky Rigids","Fresno (Countywide)",2463
"Durable Plastic Items - Other","Fresno (Countywide)",2427
"Remainder / Composite Plastic","Fresno (Countywide)",7473
"PETE Plastic Containers","Glenn (Countywide)",69
"HDPE Plastic Containers","Glenn (Countywide)",55
"Miscellaneous Plastic Containers","Glenn (Countywide)",60
"Plastic Trash Bags","Glenn (Countywide)",104
"Plastic Grocery and Other Merchandise Bags","Glenn (Countywide)",86
"Non-Bag Commercial and Industrial Packaging Film","Glenn (Countywide)",8
"Film Products","Glenn (Countywide)",10
"Other Film - Other","Glenn (Countywide)",173
"Durable Plastic Items - #2 and #5 Bulky Rigids","Glenn (Countywide)",71
"Durable Plastic Items - Other","Glenn (Countywide)",71
"Remainder / Composite Plastic","Glenn (Countywide)",220
"PETE Plastic Containers","Humboldt (Countywide)",251
"HDPE Plastic Containers","Humboldt (Countywide)",136
"Miscellaneous Plastic Containers","Humboldt (Countywide)",210
"Plastic Trash Bags","Humboldt (Countywide)",516
"Plastic Grocery and Other Merchandise Bags","Humboldt (Countywide)",161
"Non-Bag Commercial and Industrial Packaging Film","Humboldt (Countywide)",53
"Film Products","Humboldt (Countywide)",1
"Other Film - Other","Humboldt (Countywide)",831
"Durable Plastic Items - #2 and #5 Bulky Rigids","Humboldt (Countywide)",92
"Durable Plastic Items - Other","Humboldt (Countywide)",273
"Remainder / Composite Plastic","Humboldt (Countywide)",785
"PETE Plastic Containers","Imperial (Countywide)",309
"HDPE Plastic Containers","Imperial (Countywide)",187
"Miscellaneous Plastic Containers","Imperial (Countywide)",244
"Plastic Trash Bags","Imperial (Countywide)",456
"Plastic Grocery and Other Merchandise Bags","Imperial (Countywide)",311
"Non-Bag Commercial and Industrial Packaging Film","Imperial (Countywide)",49
"Film Products","Imperial (Countywide)",0
"Other Film - Other","Imperial (Countywide)",736
"Durable Plastic Items - #2 and #5 Bulky Rigids","Imperial (Countywide)",148
"Durable Plastic Items - Other","Imperial (Countywide)",744
"Remainder / Composite Plastic","Imperial (Countywide)",1017
"PETE Plastic Containers","Inyo (Countywide)",48
"HDPE Plastic Containers","Inyo (Countywide)",26
"Miscellaneous Plastic Containers","Inyo (Countywide)",29
"Plastic Trash Bags","Inyo (Countywide)",69
"Plastic Grocery and Other Merchandise Bags","Inyo (Countywide)",36
"Non-Bag Commercial and Industrial Packaging Film","Inyo (Countywide)",9
"Film Products","Inyo (Countywide)",0
"Other Film - Other","Inyo (Countywide)",116
"Durable Plastic Items - #2 and #5 Bulky Rigids","Inyo (Countywide)",29
"Durable Plastic Items - Other","Inyo (Countywide)",49
"Remainder / Composite Plastic","Inyo (Countywide)",115
"PETE Plastic Containers","Kern (Countywide)",2083
"HDPE Plastic Containers","Kern (Countywide)",1685
"Miscellaneous Plastic Containers","Kern (Countywide)",1835
"Plastic Trash Bags","Kern (Countywide)",3170
"Plastic Grocery and Other Merchandise Bags","Kern (Countywide)",2619
"Non-Bag Commercial and Industrial Packaging Film","Kern (Countywide)",232
"Film Products","Kern (Countywide)",321
"Other Film - Other","Kern (Countywide)",5254
"Durable Plastic Items - #2 and #5 Bulky Rigids","Kern (Countywide)",2253
"Durable Plastic Items - Other","Kern (Countywide)",2131
"Remainder / Composite Plastic","Kern (Countywide)",6571
"PETE Plastic Containers","Kings (Countywide)",328
"HDPE Plastic Containers","Kings (Countywide)",267
"Miscellaneous Plastic Containers","Kings (Countywide)",290
"Plastic Trash Bags","Kings (Countywide)",501
"Plastic Grocery and Other Merchandise Bags","Kings (Countywide)",414
"Non-Bag Commercial and Industrial Packaging Film","Kings (Countywide)",36
"Film Products","Kings (Countywide)",52
"Other Film - Other","Kings (Countywide)",828
"Durable Plastic Items - #2 and #5 Bulky Rigids","Kings (Countywide)",361
"Durable Plastic Items - Other","Kings (Countywide)",334
"Remainder / Composite Plastic","Kings (Countywide)",1031
"PETE Plastic Containers","Lake (Countywide)",126
"HDPE Plastic Containers","Lake (Countywide)",67
"Miscellaneous Plastic Containers","Lake (Countywide)",102
"Plastic Trash Bags","Lake (Countywide)",243
"Plastic Grocery and Other Merchandise Bags","Lake (Countywide)",86
"Non-Bag Commercial and Industrial Packaging Film","Lake (Countywide)",26
"Film Products","Lake (Countywide)",0
"Other Film - Other","Lake (Countywide)",398
"Durable Plastic Items - #2 and #5 Bulky Rigids","Lake (Countywide)",43
"Durable Plastic Items - Other","Lake (Countywide)",139
"Remainder / Composite Plastic","Lake (Countywide)",403
"PETE Plastic Containers","Lassen (Countywide)",63
