county,material_tons_disposed,material_tons_in_curbside_recycle,material_tons_in_curbside_organics,material_tons_in_other_diversion,material_tons_generated_sum_of_all_streams,resin_type
Alameda,7035.125857895216,2282.3834514057917,22.24742155253227,530.0131722969259,9869.769903150465,PET
Alpine,3.892293110985175,1.7042383230612435,0.004163672160577116,0.3005408709047121,5.901235977111707,PET
Amador,89.1404136006374,26.87194932824788,0.25803021595454056,7.764187466315371,124.0345806111552,PET
Butte,839.5373486050333,280.229328016162,2.587614095440564,61.09033630807079,1183.4446270247067,PET
Calaveras,78.32658296292179,26.95786020245216,0.2567146473955783,9.304487682500058,114.8456454952696,PET
Colusa,66.05217293958978,20.44965814197538,0.16644302534962463,4.179274838681211,90.847548945596,PET
Contra Costa,3566.027767171405,1106.877111390513,12.3151966067999,267.2980097207466,4952.518084889465,PET
Del Norte,83.12033366761544,30.05434403530643,0.20380015672947568,4.171841629643348,117.55031948929468,PET
El Dorado,535.45093266557,146.81089022147927,1.7765345594768038,49.60016823226409,733.6385256787902,PET
Fresno,3174.4305931422814,952.6766915651752,9.43246276371207,243.44772918972495,4379.987476660894,PET
Glenn,72.60548661312467,24.342992716849505,0.15400375290571397,5.933471823984979,103.03595490686487,PET
Humboldt,474.28616898813004,149.13039690903372,1.3912261290046255,45.317125897752874,670.1249179239212,PET
Imperial,559.2951874798075,167.52294295835463,1.2402663827718126,41.72447989363608,769.7828767145701,PET
Inyo,94.66700002723647,31.2210893884384,0.21456864708485346,8.53545307097104,134.63811113373077,PET
Kern,2503.39228752408,706.4178078956295,7.095709175311939,212.06065313063638,3428.966457725658,PET
Kings,383.36252949083973,103.73931752497805,0.9574632986439624,26.849823311894433,514.9091336263563,PET
Lake,186.02840082522349,75.2574313427996,0.37128988711465316,13.515503604074496,275.17262565921226,PET
Lassen,74.41617598777412,25.95970512938823,0.18805466747712596,6.078277076862077,106.64221286150155,PET
Los Angeles,45280.62144490468,15369.949906232405,140.08815238262147,3142.515018531698,63933.174522051406,PET
Madera,342.5506867764303,94.0377394166987,0.8289355545690872,36.26466527152893,473.682027019227,PET
Marin,1197.53648798071,363.002959093708,4.271219542493731,92.65093543047628,1657.4616020473882,PET
Mariposa,66.29938692335756,24.453803041882743,0.11751238767551124,10.994576411691382,101.86527876460718,PET
Mendocino,319.71332053346475,104.3175699633384,0.9160673520466766,31.048433467186687,455.9953913160365,PET
Merced,647.597731433437,195.8662394850976,1.5606918060947188,59.91435150276426,904.9390142273937,PET
Modoc,26.761323704987493,9.64785462129443,0.05404797133575669,2.0997768935926717,38.56300319121035,PET
Mono,88.61215646337165,29.712858645605937,0.2846925605112085,11.223336115039347,129.83304378452812,PET
Monterey,1563.7952665475186,446.4992373534141,4.429592581754644,140.9051115411669,2155.6292080238545,PET
Napa,678.1859366871149,205.99136004523157,2.180591355169596,64.58054060927176,950.9384286967878,PET
Nevada,281.11381081237045,84.59722787930582,0.9606065110625512,30.239659634534295,396.91130483727306,PET
Orange,15685.657556992195,4675.888145756086,52.758202683906916,1158.451688773848,21572.755594206035,PET
Placer,1527.802179545934,388.0476567005003,5.2353664508973425,110.81749789207672,2031.9027005894084,PET
Plumas,57.013884385243486,19.467593698035447,0.144009949579586,5.6214227549790365,82.24691078783755,PET
Riverside,6634.7147671077955,2042.6829846964513,20.066261467923454,591.8963864542021,9289.360399726373,PET
Sacramento,5624.876881174081,1706.9082325041147,18.40813215223836,391.0482977087315,7741.241543539167,PET
San Benito,133.56761006913732,44.77320821608522,0.34076441110948535,20.02550846313262,198.70709115946465,PET
San Bernardino,6289.626057565911,1840.8911735753063,19.081394674356734,533.0975569821088,8682.696182797681,PET
San Diego,15211.883061654353,4926.480806938995,49.90351235451372,1117.7496497822176,21306.017030730076,PET
San Francisco,7608.791052237615,2509.460375488426,28.127011534437727,499.07574626553725,10645.454185526014,PET
San Joaquin,1963.1605599517693,571.0340002738177,5.586578771802311,169.87359624553858,2709.654735242928,PET
San Luis Obispo,1103.319199018592,327.50100515800773,3.833216197771812,96.51750968811176,1531.1709300624832,PET
San Mateo,4050.161326599035,1216.550836915354,14.262394648132876,292.3630203947147,5573.337578557237,PET
Santa Barbara,1881.2861702683886,575.3209989186915,6.204301088574345,172.48391436385626,2635.2953846395103,PET
Santa Clara,9907.073336771315,3004.3219099487505,34.250670150837365,719.5482081849257,13665.19412505583,PET
Santa Cruz,962.640918473443,298.8842246366707,3.2288300170958957,93.120347549763,1357.8743206769727,PET
Shasta,634.7221580299886,191.34502473544367,1.9029924028079106,48.71352170207391,876.6836968703141,PET
Sierra,2.398234175020042,0.9557617190085568,0.002341676853629189,0.050357513426256835,3.4066950843084842,PET
Siskiyou,126.23784980622767,47.60309617483555,0.3641024744781074,11.772343053223002,185.97739150876436,PET
Solano,1244.6882989674225,362.8093468754292,3.902807720195325,98.65485327065909,1710.0553068337063,PET
Sonoma,1947.2819682649083,596.7446645095653,5.988064372167207,176.68044092032144,2726.6951380669625,PET
Stanislaus,1593.0534758296833,448.3963946206028,5.007823972548007,132.25469382296987,2178.712388245804,PET
Sutter,277.23129666505133,80.84168260921601,0.8121066238158323,19.991900233810085,378.87698613189326,PET
Tehama,188.07930090477208,71.55228696681228,0.40026265543403744,13.985616558691335,274.0174670857097,PET
Trinity,32.95844035044804,15.108409119188622,0.08113592404550124,2.399085382349313,50.547070776031475,PET
Tulare,1219.9879070700185,319.5244342341095,3.2101691710986606,106.6761649915303,1649.3986754667574,PET
Tuolumne,181.8635974210466,50.77311656740077,0.5161204233820552,13.671634000293912,246.82446841212334,PET
Ventura,3030.9923177231967,872.0872206128877,10.254588976410497,245.77669741254624,4159.110824725041,PET
Yolo,712.1377618770258,247.37521891834808,2.181298663787932,46.12907654452722,1007.823356003689,PET
Yuba,144.35380339056985,52.6033312776937,0.38934758228503635,12.666349028851117,210.0128312793997,PET
Alameda,14455.427523758146,1726.4820356826706,17.624594152948887,212.7691509836833,16412.30330457745,HDPE
Alpine,6.596760962441021,1.4592095032204808,0.001207288109656032,0.03382365588922586,8.091001409660382,HDPE
Amador,181.38240648551374,24.24037871670131,0.255835400180515,3.5276633378382005,209.40628394023378,HDPE
Butte,1657.1425532747417,214.77151283935052,2.454897555002646,20.97074614373895,1895.3397098128337,HDPE
Calaveras,153.90914238252128,20.704016316716398,0.246014476395198,3.417032474229357,178.27620564986222,HDPE
Colusa,159.83758108542392,15.589758396621784,0.2083552807036964,1.3165206475655005,176.95221541031492,HDPE
Contra Costa,7270.165054693414,880.6848583235451,10.406522863823028,107.7323811105131,8268.988816991294,HDPE
Del Norte,150.81398351290977,24.164013950636555,0.19806886381109637,1.7273257439671696,176.90339207132462,HDPE
El Dorado,1066.4753238797653,124.88915002069272,1.4579943205057395,17.427058482258534,1210.2495267032223,HDPE
Fresno,6667.045632038727,747.6948964627275,8.747659036967312,87.18272435892685,7510.670911897348,HDPE
Glenn,147.97351996982266,18.878643293195864,0.13158351330067017,1.926678185748989,168.9104249620682,HDPE
Humboldt,931.3486305896918,118.40462989043827,1.3283710257536343,15.747507253639059,1066.8291387595227,HDPE
Imperial,1096.652950348567,133.39144801136118,1.080115766378355,12.652589153890704,1243.777103280197,HDPE
Inyo,175.28067247974624,25.634863312064027,0.21453453250499643,2.1179769917799924,203.2480473160953,HDPE
Kern,5209.126773670155,595.9721417813807,6.290072134005967,69.25358779699789,5880.642575382539,HDPE
Kings,809.0830055270778,83.34450359479567,0.9494511710650637,8.863313072005502,902.240273364944,HDPE
Lake,336.6657586929312,49.623306533246954,0.3709070968296042,5.9874923356018614,392.6474646586097,HDPE
Lassen,141.88602550589638,23.900849993262376,0.18594806846731712,1.6774925733994865,167.65031614102557,HDPE
Los Angeles,91075.45963629597,11600.028427676441,111.67322629049256,1261.07672470328,104048.2380149662,HDPE
Madera,711.5825289782024,85.1805523079354,0.9717313903073665,11.007304854727636,808.7421175311729,HDPE
Marin,2436.017320368087,296.1995504461178,3.454575531855557,37.40932579719441,2773.0807721432543,HDPE
Mariposa,111.49600625388733,19.616879191896704,0.09814530542062859,1.6630477046756058,132.8740784558803,HDPE
Mendocino,640.4360886701508,81.03827778984254,0.8835150683329512,11.991822329365238,734.3497038576916,HDPE
Merced,1395.8076907485488,137.53077870064362,1.4679717012309763,17.803960011842815,1552.6104011622665,HDPE
Modoc,51.959403548599724,7.981669320804077,0.06050797003533934,0.7495796249380312,60.751160464377165,HDPE
Mono,156.59107055376035,24.919010381027043,0.1909796871517191,1.732223052053454,183.4332836739926,HDPE
Monterey,3181.892839681236,372.3497741057519,3.841221852661987,38.45491303672288,3596.538748676373,HDPE
