"material_type","county","material_tons_generated_sum_of_all_streams"
"Plastic Grocery and Other Merchandise Bags","El Dorado (Countywide)",160.099671918939
"Non-Bag Commercial and Industrial Packaging Film","El Dorado (Countywide)",329.722258399373
"Film Products","El Dorado (Countywide)",32.0260441128113
"Other Film - Other","El Dorado (Countywide)",1284.53212362319
"Durable Plastic Items - #2 and #5 Bulky Rigids","El Dorado (Countywide)",171.939230676019
"Durable Plastic Items - Other","El Dorado (Countywide)",560.811528183762
"Remainder / Composite Plastic","El Dorado (Countywide)",2452.69566362823
"PETE Plastic Containers","Fresno (Countywide)",3029.79210715508
"HDPE Plastic Containers","Fresno (Countywide)",1929.29686974266
"Miscellaneous Plastic Containers","Fresno (Countywide)",1657.23144385789
"Plastic Trash Bags","Fresno (Countywide)",6965.73462659475
"Plastic Grocery and Other Merchandise Bags","Fresno (Countywide)",1082.27195430189
"Non-Bag Commercial and Industrial Packaging Film","Fresno (Countywide)",2923.14763000871
"Film Products","Fresno (Countywide)",177.612286601057
"Other Film - Other","Fresno (Countywide)",8487.21770972812
"Durable Plastic Items - #2 and #5 Bulky Rigids","Fresno (Countywide)",1139.960428647
"Durable Plastic Items - Other","Fresno (Countywide)",3703.6767417107
"Remainder / Composite Plastic","Fresno (Countywide)",14092.350745867
"PETE Plastic Containers","Glenn (Countywide)",73.4610426286784
"HDPE Plastic Containers","Glenn (Countywide)",43.6070294002603
"Miscellaneous Plastic Containers","Glenn (Countywide)",37.272917733764
"Plastic Trash Bags","Glenn (Countywide)",149.471849792089
"Plastic Grocery and Other Merchandise Bags","Glenn (Countywide)",27.3683764452891
"Non-Bag Commercial and Industrial Packaging Film","Glenn (Countywide)",74.818767049935
"Film Products","Glenn (Countywide)",4.89249604703591
"Other Film - Other","Glenn (Countywide)",189.237353405918
"Durable Plastic Items - #2 and #5 Bulky Rigids","Glenn (Countywide)",25.7047059923789
"Durable Plastic Items - Other","Glenn (Countywide)",88.8936024227943
"Remainder / Composite Plastic","Glenn (Countywide)",303.792376138606
"PETE Plastic Containers","Humboldt (Countywide)",480.331997174938
"HDPE Plastic Containers","Humboldt (Countywide)",295.684203948958
"Miscellaneous Plastic Containers","Humboldt (Countywide)",242.518578060089
"Plastic Trash Bags","Humboldt (Countywide)",1008.85896520526
"Plastic Grocery and Other Merchandise Bags","Humboldt (Countywide)",170.354749064968
"Non-Bag Commercial and Industrial Packaging Film","Humboldt (Countywide)",305.08702263905
"Film Products","Humboldt (Countywide)",30.5577291188093
"Other Film - Other","Humboldt (Countywide)",1169.6645571647
"Durable Plastic Items - #2 and #5 Bulky Rigids","Humboldt (Countywide)",153.174874360372
"Durable Plastic Items - Other","Humboldt (Countywide)",515.417119957779
