"material_type","county","material_tons_disposed","material_tons_in_curbside_recycle","material_tons_in_curbside_organics","material_tons_in_other_diversion","material_tons_generated_sum_of_all_streams"
"Plastic Trash Bags","Modoc (Countywide)",53.9139882562999,1.26918733690443,0.0190718277954891,0.176275482201736,55.3785229032015
"Plastic Grocery and Other Merchandise Bags","Modoc (Countywide)",9.32369465051885,1.17568205666697,0.00826646762101346,0.00322312370229068,10.5108662985091
"Non-Bag Commercial and Industrial Packaging Film","Modoc (Countywide)",15.8126369807123,1.19099363084163,0.0095383309975113,1.37484600071674,18.3880149432682
"Film Products","Modoc (Countywide)",0.435812553581209,0.624841771546928,0.00443541497724017,0.839620869271077,1.90471060937645
"Other Film - Other","Modoc (Countywide)",60.2763804522134,3.16064637833805,0.168958611841154,0.363201029794004,63.9691864721866
"Durable Plastic Items - #2 and #5 Bulky Rigids","Modoc (Countywide)",5.58733033117243,3.75661829911964,0,0.266797465825455,9.61074609611752
"Durable Plastic Items - Other","Modoc (Countywide)",29.4156442371239,1.25124418708176,0.00233766305763168,0.26528193981659,30.9345080270799
"Remainder / Composite Plastic","Modoc (Countywide)",105.956525040088,3.593877302969,0.0886848901067734,0.564875612646279,110.20396284581
"PETE Plastic Containers","Mono (Countywide)",60.6081909454516,27.8050487365864,0.281915245306198,11.1149926100389,99.8101475373831
"HDPE Plastic Containers","Mono (Countywide)",41.6772932067129,15.8371678340827,0.00532032850871946,0.711277495245376,58.2310588645497
"Miscellaneous Plastic Containers","Mono (Countywide)",30.5898943740796,11.4967664235586,0.0820679783569197,0.851834280247177,43.0205630562423
"Plastic Trash Bags","Mono (Countywide)",180.728021006831,4.7650944239417,0.0757483484964917,0.316539333247249,185.885403112516
"Plastic Grocery and Other Merchandise Bags","Mono (Countywide)",28.3589758407326,3.28975565172962,0.0135618632756226,0.000707166174931802,31.6630005219128
"Non-Bag Commercial and Industrial Packaging Film","Mono (Countywide)",21.1063820338753,3.1638164141751,0.0731534807081858,2.52961484235747,26.8729667711161
"Film Products","Mono (Countywide)",1.01997343184845,0.693181448536131,0,1.45514086228132,3.16829574266591
"Other Film - Other","Mono (Countywide)",176.784323321097,19.2883704649956,0.902245548047949,0.531683615748816,197.50662294989
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mono (Countywide)",15.2518361919653,11.836767967171,0,0.345842261577484,27.4344464207138
"Durable Plastic Items - Other","Mono (Countywide)",63.5975907485249,8.52079991817692,0.0109514432373832,0.46979573708453,72.5991378470237
"Remainder / Composite Plastic","Mono (Countywide)",304.711148483218,12.1420223286697,0.0284193602011295,0.885301963274539,317.766892135364
"PETE Plastic Containers","Monterey (Countywide)",961.937173304834,417.342864069529,4.17616936704342,137.103823191745,1520.56002993315
"HDPE Plastic Containers","Monterey (Countywide)",711.459623006297,229.67326536054,0.563456341691428,12.1526822067561,953.849026915285
"Miscellaneous Plastic Containers","Monterey (Countywide)",531.115009759206,212.1209375992,1.93228058328113,15.0876600599621,760.255888001649
"Plastic Trash Bags","Monterey (Countywide)",3366.0581608209,68.1197258471631,1.22367203115042,7.38054892501603,3442.78210762423
"Plastic Grocery and Other Merchandise Bags","Monterey (Countywide)",454.965037255033,70.0201437368265,0.333781927083736,0.0538423546281186,525.372805273572
"Non-Bag Commercial and Industrial Packaging Film","Monterey (Countywide)",1158.33786585813,102.672854223562,0.999632854375543,59.9698131269612,1321.98016606303
"Film Products","Monterey (Countywide)",19.0198188216096,51.9189189609116,0.178182322196427,34.0693839400659,105.186304044784
"Other Film - Other","Monterey (Countywide)",3687.80333659866,216.915137376744,14.24291540322,11.6829494109759,3930.6443387896
"Durable Plastic Items - #2 and #5 Bulky Rigids","Monterey (Countywide)",298.179674549074,185.025793932714,0,15.9631705831814,499.16863906497
"Durable Plastic Items - Other","Monterey (Countywide)",1723.92609257706,88.3518992828124,0.251984831984058,14.3409824620081,1826.87095915387
"Remainder / Composite Plastic","Monterey (Countywide)",6360.51534943602,207.26249244964,3.02289890549949,30.0912163667927,6600.89195715796
